TypeLocality,Amber,Lat_dec,Lon_dec
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.500303,96.583364
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Archingeay,45.932703,0.705464
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.500303,96.583364
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.500303,96.583364
"Archingeay-Les Nouillers, Charente-Maritime, Poitou-Charentes, France",Archingeay,45.932703,0.705464
"Grossman's Pit, Sayreville, New Jersey, USA",Raritan,40.837286,-74.360964
"Grassy Lake, Southern Alberta, Canada",Canadian,49.837286,-111.694839
"Ain Dara, Caza Aley, Lebanese amber",Lebanese,33.781317,35.725306
"Capilduy, Alava, Spain",Alava,42.910253,-2.698289
"Hukawng (as Hukong) Valley, Kachin, Myanmar",Burmese,26.500303,96.583364
